4,abandon,丢弃,diu1 qi4,vt
5,abandon,放弃,fang4 qi4,vt
6,abandon,抛弃,pao1 qi4,vt
7,ability,能力,neng2 li4,n
8,ability,能耐,neng2 nai4,n
9,ability,本领,ben3 ling3,n
10,able,有能力的,you3 neng2 li4 de5,a
11,able,出色的,chu1 se4 de5,a
12,aboard,在船(车)上,zai4 chuan2 che1 shang4,ad
13,aboard,上船,shang4 chuan2,ad
14,about,关于,guan1 yu2,prep
15,about,在周围,zai4 zhou1 wei2,prep
16,above,在上面,zai4 shang4 mian4,prep
17,above,高于,gao1 yu2,prep
18,abroad,(在)国外,zai4 guo2 wai4,ad
19,abroad,到处,dao4 chu3,ad
20,absence,缺席,que1 xi2,n
21,absence,不在场,bu4 zai4 chang3,n
22,absence,缺乏,que1 fa2,n
23,absent,不在场的,bu4 zai4 chang3 de5,a
24,absent,缺乏的,que1 fa2 de5,a
25,absolute,绝对的,jue2 dui4 de5,a
26,absolute,纯粹的,chun2 cui4 de5,a
27,absorb,吸收,xi1 shou1,vt
28,absorb,使专心,shi3 zhuan1 xin1,vt
29,abstract,抽象的,chou1 xiang4 de5,a
30,abstract,摘要,zhai1 yao4,n
31,abundant,丰富的,feng1 fu4 de5,a
32,abundant,大量的,da4 liang4 de5,a
33,abuse,滥用,lan4 yong4,vt
34,abuse,虐待,nu:e4 dai4,vt
35,abuse,滥用,lan4 yong4,n
36,academic,学院的,xue2 yuan4 de5,a
37,academic,学术的,xue2 shu4 de5,a
38,academy,私立中学,si1 li4 zhong1 xue2,n
39,academy,专科院校,zhuan1 ke1 yuan4 xiao4,n
40,accelerate,(使)加快,shi3 jia1 kuai4,vt
41,accelerate,促进,cu4 jin4,vt
42,accent,口音,kou3 yin1,n
43,accent,腔调,qiang1 diao4,n
44,accent,重音,zhong4 yin1,n
45,accept,接受,jie1 shou4,vt
46,accept,同意,tong2 yi4,vt
47,accept,接受,jie1 shou4,vi
48,accept,同意,tong2 yi4,vi
49,acceptance,接受,jie1 shou4,n
50,acceptance,验收,yan4 shou1,n
51,acceptance,承认,cheng2 ren4,n
52,access,接近,jie1 jin4,n
53,access,通道,tong1 dao4,n
54,access,入口,ru4 kou3,n
55,accident,意外的,yi4 wai4 de5,n
56,accident,事故,shi4 gu4,n
57,accidental,偶然的,ou3 ran2 de5,a
58,accidental,非本质的,fei1 ben3 zhi4 de5,a
59,accommodation,适应,shi4 ying1,n
60,accommodation,调解,diao4 jie3,n
61,accommodation,膳宿,shan4 su4,n
62,accommodation,贷款,dai4 kuan3,n
63,accompany,陪同,pei2 tong2,vt
64,accompany,伴随,ban4 sui2,vt
65,accomplish,达到(目的),da2 dao4 mu4 de5,vt
66,accomplish,完成,wan2 cheng2,vt
67,accord,使一致,shi3 yi1 zhi4,vt
68,accord,给予,ji3 yu3,vt
69,accordance,一致,yi1 zhi4,n
70,accordance,和谐,he2 xie2,n
71,accordingly,因此,yin1 ci3,ad
72,accordingly,依照,yi1 zhao4,ad
73,account,记述,ji4 shu4,n
74,account,解释,jie3 shi4,n
75,account,帐目,zhang4 mu4,n
76,accountant,会计,hui4 ji4,n
77,accountant,会计师,hui4 ji4 shi1,n
78,accumulate,积累,ji1 lei3,vt
79,accumulate,堆积,dui1 ji1,vi
80,accuracy,准确(性),zhun3 que4 xing4,n
81,accuracy,准确度,zhun3 que4 du4,n
82,accurate,准确的,zhun3 que4 de5,a
83,accurate,正确无误的,zheng4 que4 wu2 wu4 de5,a
84,accuse,指责,zhi3 ze2,vt
85,accuse,归咎于,gui1 jiu4 yu2,vt
86,accustomed,惯常的,guan4 chang2 de5,a
87,accustomed,习惯的,xi2 guan4 de5,a
88,ache,痛,tong4,vi
89,ache,想念,xiang3 nian4,vi
90,ache,疼痛,teng2 tong4,n
91,achieve,完成,wan2 cheng2,vt
92,achieve,实现,shi2 xian4,vt
93,achieve,达到,da2 dao4,vt
94,acid,酸,suan1,n
95,acid,酸的,suan1 de5,n
96,acid,酸性的,suan1 xing4 de5,n
97,acknowledge,承认,cheng2 ren4,vt
98,acknowledge,感谢,gan3 xie4,vt
99,acquaintance,认识,ren4 shi1,n
100,acquaintance,了解,le5 jie3,n
101,acquaintance,熟人,shu2 ren2,n
102,acquire,取得,qu3 de2,vt
103,acquire,获得,huo4 de2,vt
104,acquire,学到,xue2 dao4,vt
105,acquisition,获得,huo4 de2,n
106,acquisition,添加的物品,tian1 jia1 de5 wu4 pin3,n
107,acre,英亩(亩),ying1 mu3 mu3,n
108,acre,英亩(亩),ying1 mu3 mu3,
109,across,横过,heng2 guo4,prep
110,across,在对面,zai4 dui4 mian4,prep
111,act,行动,xing2 dong4,vi
112,act,见效,jian4 xiao4,vi
113,act,行为,xing2 wei2,n
114,action,行动,xing2 dong4,n
115,action,作用,zuo4 yong4,n
116,action,功能,gong1 neng2,n
117,active,活跃的,huo2 yue4 de5,a
118,active,积极的,ji1 ji2 de5,a
119,activity,活动,huo2 dong4,n
120,activity,活力,huo2 li4,n
121,activity,行动,xing2 dong4,n
122,actor,男演员,nan2 yan3 yuan2,n
123,actress,女演员,nu:3 yan3 yuan2,n
124,actual,实际的,shi2 ji4 de5,a
125,actual,现行的,xian4 xing2 de5,a
126,acute,尖的,jian1 de5,a
127,acute,锐的,rui4 de5,a
128,acute,敏锐的,min3 rui4 de5,a
129,adapt,使适应,shi3 shi4 ying1,vt
130,adapt,改编,gai3 bian1,vt
131,add,添加,tian1 jia1,vt
132,add,附加,fu4 jia1,vt
133,add,掺加,chan1 jia1,vt
134,addition,加,jia1,n
135,addition,加法,jia1 fa3,n
136,addition,附加物,fu4 jia1 wu4,n
137,additional,附加的,fu4 jia1 de5,a
138,additional,追加的,zhui1 jia1 de5,a
139,address,地址,di4 zhi3,n
140,address,演说,yan3 shuo1,n
141,address,谈吐,tan2 tu3,n
142,adequate,足够的,zu2 gou4 de5,a
143,adequate,可以胜任的,ke3 yi3 sheng4 ren4 de5,a
144,adjust,调整,diao4 zheng3,vt
145,adjust,调节,diao4 jie2,vt
146,adjust,校正,xiao4 zheng4,vt
147,administration,管理,guan3 li3,n
148,administration,管理部门,guan3 li3 bu4 men2,n
149,admire,钦佩,qin1 pei4,vt
150,admire,羡慕,xian4 mu4,vt
151,admire,赞赏,zan4 shang3,vt
152,admission,允许进入,yun3 xu3 jin4 ru4,n
153,admission,承认,cheng2 ren4,n
154,admit,承认,cheng2 ren4,vt
155,admit,准许进入,zhun3 xu3 jin4 ru4,vt
156,adopt,收养,shou1 yang3,vt
157,adopt,采用,cai3 yong4,vt
158,adopt,采取,cai3 qu3,vt
159,adult,成年人,cheng2 nian2 ren2,n
160,adult,成年的,cheng2 nian2 de5,a
161,advance,前进,qian2 jin4,vi
162,advance,提高,ti2 gao1,vi
163,advance,进展,jin4 zhan3,n
164,advanced,先进的,xian1 jin4 de5,a
165,advanced,高级的,gao1 ji2 de5,a
166,advantage,优点,you1 dian3,n
167,advantage,优势,you1 shi4,n
168,advantage,好处,hao3 chu3,n
169,adventure,冒险,mao4 xian3,n
170,adventure,惊险活动,jing1 xian3 huo2 dong4,n
171,adverb,副词,fu4 ci2,n
172,advertise,通知,tong1 zhi1,vt
173,advertise,登广告,deng1 guang3 gao4,vi
174,advertisement,广告,guang3 gao4,n
175,advertisement,公告,gong1 gao4,n
176,advertisement,登广告,deng1 guang3 gao4,n
177,advice,劝告,quan4 gao4,n
178,advice,忠告,zhong1 gao4,n
179,advice,意见,yi4 jian4,n
180,advisable,明智的,ming2 zhi4 de5,n
181,advisable,可取的,ke3 qu3 de5,n
182,advise,劝告,quan4 gao4,vt
183,advise,建议,jian4 yi4,vt
184,advise,通知,tong1 zhi1,vt
185,advocate,拥护者,yong1 hu4 zhe3,n
186,advocate,提倡,ti2 chang4,vt
187,advocate,拥护,yong1 hu4,vt
188,aeroplane,飞机,fei1 ji1,n
189,affair,事情,shi4 qing2,n
190,affair,事件,shi4 jian4,n
191,affair,事务,shi4 wu4,n
192,affect,影响,ying3 xiang3,vt
193,affect,感动,gan3 dong4,vt
194,affection,慈爱,ci2 ai4,n
195,affection,爱,ai4,n
196,affection,爱慕,ai4 mu4,n
197,afford,担负得起,dan1 fu4 de2 qi3,vt
198,afford,提供,ti2 gong1,vt
199,afraid,害怕的,hai4 pa4 de5,a
200,afraid,担心的,dan1 xin1 de5,a
201,after,在以后,zai4 yi3 hou4,prep
202,after,次于,ci4 yu2,prep
203,afternoon,下午,xia4 wu3,n
204,afternoon,午后,wu3 hou4,n
205,again,又一次,you4 yi1 ci4,ad
206,again,而且,er2 qie3,ad
207,against,靠在,kao4 zai4,prep
208,against,反对,fan3 dui4,prep
209,against,对着,dui4 zhe5,prep
210,age,年龄,nian2 ling2,n
211,age,时代,shi2 dai4,n
212,age,变老,bian4 lao3,vt
213,agency,经办,jing1 ban4,n
214,agency,代理,dai4 li3,n
215,agency,代理处,dai4 li3 chu3,n
216,agenda,议程,yi4 cheng2,n
217,agenda,应办事项,ying1 ban4 shi4 xiang4,n
218,agent,代理人,dai4 li3 ren2,n
219,agent,代理商,dai4 li3 shang1,n
220,aggressive,好斗的,hao3 dou4 de5,a
221,aggressive,勇于进取的,yong3 yu2 jin4 qu3 de5,a
222,ago,以前,yi3 qian2,ad
223,agree,同意,tong2 yi4,vi
224,agree,持相同意见,chi2 xiang1 tong2 yi4 jian4,vi
225,agreement,协定,xie2 ding4,n
226,agreement,协议,xie2 yi4,n
227,agreement,同意,tong2 yi4,n
228,agriculture,农业,nong2 ye4,n
229,agriculture,农艺,nong2 yi4,n
230,agriculture,农学,nong2 xue2,n
231,ahead,在前,zai4 qian2,ad
232,ahead,向前,xiang4 qian2,ad
233,ahead,提前,ti2 qian2,ad
234,aid,帮助,bang1 zhu4,n
235,aid,救护,jiu4 hu4,n
236,aid,助手,zhu4 shou3,n
237,aim,瞄准,miao2 zhun3,vi
238,aim,针对,zhen1 dui4,vi
239,aim,致力,zhi4 li4,vi
240,air,空气,kong1 qi4,n
241,air,空中,kong1 zhong1,n
242,air,外观,wai4 guan1,n
243,aircraft,飞机,fei1 ji1,n
244,aircraft,飞行器,fei1 xing2 qi4,n
245,airline,航空公司,hang2 kong1 gong1 si1,n
246,airline,航线,hang2 xian4,n
247,airplane,飞机,fei1 ji1,n
248,airport,机场,ji1 chang3,n
249,airport,航空站,hang2 kong1 zhan4,n
250,alarm,惊恐,jing1 kong3,n
251,alarm,忧虑,you1 lu:4,n
252,alarm,警报,jing3 bao4,n
253,alcohol,酒精,jiu3 jing1,n
