mexico freed us marine reservist sgt|us|,墨西哥,释放,我们,海洋,预备役,上士|我们|我们|pronoun|我们|我们|我们(pronoun)+|
mexico freed us marine reservist sgt|marine|墨西哥,释放,我们,海洋,预备役,上士|||adjective|海产的|舰队|舰队(noun)+陆战队(noun)+水兵(noun)+海产的(adjective)+海的(adjective)+|
andrew paul tahmooressi whod been held in a prison there for seven months|prison|安德鲁,·,保罗,tahmooressi,书,被,扣押,在,监狱,里,那里,七,个,月|监狱|监狱|noun|监狱|监狱|监狱(noun)+监(noun)+狱(noun)+牢(noun)+犴(noun)+豻(noun)+班房(noun)+狴(noun)+拘留所(noun)+囹(noun)+囚牢(noun)+囚室(noun)+铁窗(noun)+|
andrew paul tahmooressi whod been held in a prison there for seven months|there|安德鲁,·,保罗,tahmooressi,书,被,扣押,在,监狱,里,那里,七,个,月|那里|那里|adverb|那里|那里|那里(adverb)+那边(adverb)+那儿(adverb)+往那里(adverb)+|
andrew paul tahmooressi whod been held in a prison there for seven months|seven|安德鲁,·,保罗,tahmooressi,书,被,扣押,在,监狱,里,那里,七,个,月|七|七|CD||七|七(noun)+七()+|
tahmooressi boarded a flight for miami from san diego|flight|tahmooressi,也,登上,了,迈阿密,从,圣地亚哥,的,航班|航班|航班|noun|飞行|飞行|飞行(noun)+航班(noun)+航程(noun)+溃逃(noun)+溃逃(verb)+|
it is with an overwhelming and humbling feeling of relief that we confirm that andrew was released today after spending 214 days in mexican jail|feeling|它,是,救济,的,具有,压倒性,的,和,谦卑,我们,确认,安德鲁,获释,今天,在,墨西哥,的,监狱,中,度过,214,天,后,的,感觉|感觉|感觉|noun|感觉|感觉|感觉(noun)+情感(noun)+情(noun)+感情(noun)+情绪(noun)+思绪(noun)+心(noun)+臆(noun)+知觉(noun)+富于同情心的(adjective)+有感觉的(adjective)+|
it is with an overwhelming and humbling feeling of relief that we confirm that andrew was released today after spending 214 days in mexican jail|relief|它,是,救济,的,具有,压倒性,的,和,谦卑,我们,确认,安德鲁,获释,今天,在,墨西哥,的,监狱,中,度过,214,天,后,的,感觉|||noun|缓解|缓解|缓解(noun)+地势(noun)+换班(noun)+解脱(noun)+慰藉(noun)+|
it is with an overwhelming and humbling feeling of relief that we confirm that andrew was released today after spending 214 days in mexican jail|we|它,是,救济,的,具有,压倒性,的,和,谦卑,我们,确认,安德鲁,获释,今天,在,墨西哥,的,监狱,中,度过,214,天,后,的,感觉|我们|我们|pronoun|我们|我们|我们(pronoun)+咱(pronoun)+咱们(pronoun)+朕(pronoun)+|
it is with an overwhelming and humbling feeling of relief that we confirm that andrew was released today after spending 214 days in mexican jail|confirm|它,是,救济,的,具有,压倒性,的,和,谦卑,我们,确认,安德鲁,获释,今天,在,墨西哥,的,监狱,中,度过,214,天,后,的,感觉|确认|确认|verb|确认|确认|确认(verb)+证实(verb)+肯定(verb)+验(verb)+证(verb)+|
it is with an overwhelming and humbling feeling of relief that we confirm that andrew was released today after spending 214 days in mexican jail|today|它,是,救济,的,具有,压倒性,的,和,谦卑,我们,确认,安德鲁,获释,今天,在,墨西哥,的,监狱,中,度过,214,天,后,的,感觉|今天|今天|noun|这天|今天|今天(adverb)+今日(adverb)+今(adverb)+今儿(adverb)+这天(adverb)+这天(noun)+|
